"year","airport","airport_name","arrivals","delayed","carrier_delays","weather_delays","nas_delays","security_delays","late_aircraft_delays","on_time"
2003,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",215951,42141,7036.04,1807.22,24384.83,76.55,8836.37,0.8048585095693
2003,"DEN","Denver, CO: Denver International",86401,11260,4043.46,577.8,4073.34,46.26,2519.08,0.869677434288955
2003,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",196508,27775,6604.96,1363.9,11891.24,98.66,7816.25,0.85865715390722
2003,"IAH","Houston, TX: George Bush Intercontinental/Houston",111526,17030,2699.81,627.85,9210.45,84.81,4407.02,0.847300181123684
2003,"LAS","Las Vegas, NV: McCarran International",85255,14239,3570.84,424.83,5243,58.78,4941.53,0.832983402732978
2003,"LAX","Los Angeles, CA: Los Angeles International",131898,18157,5637.27,810.48,6503.93,110.54,5094.81,0.862340596521554
2003,"ORD","Chicago, IL: Chicago O'Hare International",217191,51716,5974.7,1242.02,34339.66,60.61,10098.97,0.761887002684273
2003,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",98440,12915,3736.98,329.18,4328.12,77.38,4443.32,0.86880333197887
2004,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",416989,103842,16594.74,5804.17,63822.58,154.23,17466.23,0.750971848178249
2004,"DEN","Denver, CO: Denver International",155202,24461,8452.42,1071.5,8498.76,88.98,6349.37,0.842392494942075
2004,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",344022,57458,12321.96,4045.75,24356.95,156.91,16576.43,0.832981611641116
2004,"IAH","Houston, TX: George Bush Intercontinental/Houston",202096,35505,5896.72,1312.34,18838.22,190.83,9266.91,0.824316166574301
2004,"LAS","Las Vegas, NV: McCarran International",158157,33811,8174.99,956.5,11560.68,176,12942.85,0.786218757310774
2004,"ORD","Chicago, IL: Chicago O'Hare International",376206,99368,12350.68,2265.04,60916.23,105.56,23730.64,0.735868114809439
2004,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",170236,31944,8477.45,813.17,11082.99,228.59,11341.84,0.812354613595244
2005,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",429800,105351,18664.05,4411.28,62200.63,94.32,19980.72,0.754883666821778
2005,"DEN","Denver, CO: Denver International",182917,29682,10912.01,1129.68,8740.27,64.16,8835.89,0.837729680674842
2005,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",307811,52129,10962.37,2656.75,19542.93,83.95,18882.91,0.830646078275305
2005,"IAH","Houston, TX: George Bush Intercontinental/Houston",212082,34920,6360.49,970.25,17039.2,171.74,10378.33,0.835346705519563
2005,"LAS","Las Vegas, NV: McCarran International",167557,35703,9222.14,898.19,11398.71,112.06,14071.96,0.78692027190747
2005,"LAX","Los Angeles, CA: Los Angeles International",230980,43154,14504.48,1226.72,14187.54,144.42,13090.66,0.813169971426097
2005,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",174501,31107,8781.29,700.44,9435.49,152,12037.78,0.821737411246927
2006,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",404829,105673,23678.07,5025.8,51601.66,165.64,25201.83,0.738968799171996
2006,"DEN","Denver, CO: Denver International",232365,44574,14191.61,1356.39,13289.54,145.96,15590.56,0.808172487250662
2006,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",301312,57116,11770.15,2678.07,18814.33,181.04,23672.48,0.81044233220051
2006,"IAH","Houston, TX: George Bush Intercontinental/Houston",224004,45991,7938.22,1251.08,21152.37,216.35,15433.08,0.794686702023178
2006,"LAS","Las Vegas, NV: McCarran International",184716,41792,10023.88,926.21,13693.5,207.25,16941.14,0.773749972931419
2006,"LAX","Los Angeles, CA: Los Angeles International",233900,51071,16256.7,1247.98,16456.2,238.02,16872.24,0.781654553227875
2006,"ORD","Chicago, IL: Chicago O'Hare International",373799,103901,17076.02,2291.4,53552.93,160.72,30820.02,0.722040454896883
2006,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",215085,39532,12351.3,1001.73,11940.76,279.54,13958.63,0.816202896529279
2007,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",413867,96952,27720.66,5650.83,36539.37,112.68,26928.49,0.765741168056405
2007,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",297492,71570,13771.63,4044.32,24955.44,96.25,28702.35,0.759422102106947
2007,"IAH","Houston, TX: George Bush Intercontinental/Houston",200439,39385,7706.95,1240.59,17403.01,158.94,12875.49,0.803506303663459
2007,"LAS","Las Vegas, NV: McCarran International",183691,40691,10783.96,839.03,11725.09,142.18,17200.75,0.778481253844772
2007,"LAX","Los Angeles, CA: Los Angeles International",237676,52512,15790.1,1422.44,16434.81,214.59,18649.95,0.779060569851394
2007,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",211098,43228,14035.59,1132.73,12959.45,222.76,14877.46,0.795223071748666
2008,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",414521,93706,20821.75,4290.12,41823.06,78.11,26693.02,0.773941489092229
2008,"DEN","Denver, CO: Denver International",241470,48942,11785.3,1426.26,17439.76,89.12,18201.7,0.79731643682445
2008,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",281401,58126,11870.52,2090.52,20085.77,68.18,24011.02,0.793440677183095
2008,"IAH","Houston, TX: George Bush Intercontinental/Houston",185160,36052,7633.88,1247.92,15882.74,134.8,11152.65,0.805292719809894
2008,"LAS","Las Vegas, NV: McCarran International",172871,36249,8928,858.92,12708.78,86.17,13667.08,0.790311851033429
2008,"LAX","Los Angeles, CA: Los Angeles International",215685,46534,12354.98,993.35,16409.08,150.68,16625.99,0.784250179660153
2008,"ORD","Chicago, IL: Chicago O'Hare International",350452,95961,14697.18,2278.11,49013.84,85.29,29886.68,0.726179334117083
2008,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",199416,35254,10639.75,852.61,12302.67,127.44,11331.59,0.82321378425001
2009,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",419208,107439,15450.41,2414.66,54673.08,48.39,34852.52,0.743709566611324
2009,"DEN","Denver, CO: Denver International",236202,41885,9234.01,1424.8,15948.77,74.48,15203.03,0.822672966359303
2009,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",265111,48952,9672.06,2179.37,16230.63,50.27,20819.82,0.815352814481481
2009,"IAH","Houston, TX: George Bush Intercontinental/Houston",183023,29466,5846.88,985.35,14210.44,77.19,8346.15,0.8390038410473
2009,"LAS","Las Vegas, NV: McCarran International",154472,25314,6809.82,598.56,8128.57,63.89,9713.34,0.836125640892848
2009,"LAX","Los Angeles, CA: Los Angeles International",193525,31314,9004.59,803.54,9601.62,77.32,11827,0.838191448133316
